DB00497	DB01171
DB00091	DB01136
DB00337	DB00570
DB00678	DB00700
DB06589	DB08827
DB00539	DB00976
DB00682	DB08880
DB01264	DB01306
DB00794	DB08883
DB00280	DB00780
DB00765	DB09128
DB00344	DB00408
DB00266	DB00359
DB00022	DB01069
DB00051	DB06273
DB00367	DB06271
DB01184	DB09063
DB00474	DB04861
DB00316	DB09273
DB00374	DB00932
DB00541	DB01320
DB00290	DB01097
DB00788	DB01254
DB00524	DB00912
DB01203	DB09242
DB00485	DB00759
DB00653	DB01198
DB00220	DB00309
DB00126	DB01560
DB06413	DB09273
DB00788	DB06813
DB00860	DB09067
DB00305	DB00541
DB00307	DB06697
DB00484	DB06690
DB00307	DB01100
DB00503	DB01307
DB01579	DB06799
DB00717	DB06273
DB00072	DB08935
DB00418	DB00590
DB08899	DB09049
DB00762	DB00976
DB00967	DB04905
DB00441	DB00682
DB00839	DB01307
DB00474	DB00794
DB00425	DB09073
DB01198	DB09117
DB01211	DB09119
DB01223	DB08912
DB00790	DB01015
DB00334	DB01168
DB00542	DB06212
DB00046	DB01119
DB01225	DB06209
DB00222	DB00903
DB00215	DB00270
DB00047	DB01268
DB00270	DB11110
DB00628	DB08933
DB00307	DB08903
DB00425	DB06153
DB00715	DB06292
DB00864	DB09545
DB00333	DB01320
DB00382	DB01114
DB00999	DB01120
DB00252	DB00537
DB00708	DB09083
DB00313	DB00344
DB00458	DB09076
DB00780	DB00956
DB00904	DB01367
DB00252	DB00381
DB01026	DB06589
DB00186	DB00395
DB01017	DB11354
DB01002	DB01072
DB00316	DB00474
DB01351	DB09288
DB01440	DB01589
DB01380	DB09063
DB00794	DB01656
DB00327	DB00606
DB00388	DB00598
DB01112	DB09104
DB00208	DB00514
DB08896	DB08899
DB00492	DB00945
DB00215	DB00710
DB00227	DB01118
DB00381	DB00794
DB00658	DB00864
DB06441	DB06605
DB00104	DB06216
DB00294	DB00418
DB00366	DB04908
DB00775	DB00974
DB00404	DB01323
DB00220	DB04835
DB00780	DB06706
DB00089	DB00959
DB00233	DB00569
DB00390	DB00919
DB00414	DB01601
DB00191	DB06723
DB00641	DB06290
DB06616	DB08881
DB00022	DB09039
DB00091	DB00773
DB01609	DB09063
DB00502	DB01403
DB00388	DB00470
DB00187	DB00468
DB06605	DB08935
DB00280	DB09290
DB00661	DB08815
DB00182	DB00557
DB00073	DB00864
DB00263	DB00622
DB01380	DB06723
DB06201	DB09555
DB00030	DB06412
DB01208	DB06203
DB00794	DB00819
DB00377	DB06204
DB00181	DB09128
DB00363	DB01201
DB00928	DB06643
DB00214	DB01398
DB00844	DB00999
DB01017	DB08872
DB00723	DB00871
DB00559	DB01167
DB01104	DB01320
DB00422	DB00830
DB01076	DB01263
DB00193	DB00715
DB00726	DB09076
DB00770	DB00820
DB00739	DB00798
DB00541	DB00975
DB00163	DB09075
DB00317	DB01377
DB00203	DB09118
DB08931	DB09104
DB00311	DB01551
DB01100	DB01560
DB00625	DB09072
DB06335	DB09009
DB01041	DB06168
DB00237	DB00254
DB00422	DB00700
DB00946	DB03619
DB00898	DB00916
DB00007	DB00370
DB00193	DB04868
DB00358	DB06480
DB00521	DB06218
DB00871	DB00961
DB01023	DB01174
DB00268	DB00422
DB00921	DB01018
DB00454	DB01403
DB00768	DB09076
DB00661	DB01167
DB00368	DB01620
DB00780	DB01614
DB00091	DB00440
DB00073	DB01193
DB00215	DB01403
DB01038	DB01233
DB00246	DB01200
DB00448	DB00630
DB01247	DB06698
DB00934	DB06603
DB00407	DB00796
DB00605	DB00682
DB00300	DB01264
DB00374	DB09079
DB00889	DB00952
DB00951	DB01026
DB00440	DB09063
DB00816	DB00988
DB00180	DB01201
DB00782	DB09076
DB01017	DB01106
DB00408	DB01003
DB01323	DB04938
DB00938	DB05521
DB00959	DB06723
DB00391	DB01149
DB00502	DB01356
DB08815	DB09097
DB00692	DB00996
DB00767	DB00998
DB00180	DB01232
DB00316	DB01351
DB00393	DB01337
DB00450	DB01351
DB00588	DB01365
DB00332	DB01171
DB00648	DB09101
DB00104	DB01195
DB00337	DB08870
DB00126	DB01577
DB00732	DB01054
DB00040	DB01624
DB01238	DB01307
DB08439	DB08873
DB00598	DB01119
DB00393	DB01254
DB00220	DB00956
DB00401	DB00476
DB08815	DB09065
DB00343	DB06273
DB00188	DB01551
DB00458	DB00752
DB00333	DB00601
DB00541	DB00673
DB00169	DB01021
DB00461	DB01208
DB00737	DB08883
DB01002	DB01211
DB01399	DB09214
DB00244	DB00448
DB00450	DB04924
DB00177	DB00722
DB00220	DB00404
DB00184	DB00640
DB00337	DB01042
DB00366	DB06148
DB00502	DB00696
DB01032	DB01329
DB00501	DB09256
DB00819	DB01083
DB00904	DB09036
DB00696	DB00933
DB00500	DB01109
DB01026	DB09074
DB01277	DB08907
DB00742	DB01355
DB00989	DB04842
DB00668	DB09273
DB00248	DB01038
DB00040	DB01591
DB00831	DB01356
DB06168	DB06674
DB00775	DB01418
DB00420	DB09072
DB00186	DB00854
DB00543	DB06808
DB00041	DB01203
DB01076	DB01590
DB06153	DB09034
DB00338	DB06616
DB00220	DB01590
DB06688	DB08877
DB00072	DB01380
DB01018	DB01323
DB00177	DB08822
DB00307	DB08899
DB00014	DB00927
DB00250	DB02703
DB00972	DB01624
DB01030	DB08865
DB00285	DB09009
DB00258	DB09267
DB00047	DB01406
DB00252	DB00921
DB00220	DB00717
DB00195	DB00474
DB00519	DB06692
DB00273	DB00850
DB00705	DB06212
DB00007	DB00285
DB00047	DB00199
DB00717	DB08794
DB00474	DB00726
DB00279	DB09068
DB01577	DB09042
DB00041	DB00790
DB00474	DB09401
DB00187	DB04897
DB00880	DB01356
DB01020	DB09073
DB00834	DB01058
DB00440	DB00584
DB00089	DB01285
DB00393	DB01132
DB01395	DB09477
DB00723	DB06711
DB01254	DB06287
DB00422	DB00880
DB01005	DB01656
DB00035	DB00497
DB00295	DB01171
DB00841	DB11093
DB00332	DB00950
DB00497	DB01045
DB00337	DB00343
DB00956	DB01247
DB00983	DB01291
DB00956	DB00972
DB00046	DB01398
DB00563	DB00573
DB01097	DB10829
DB00712	DB01275
DB00224	DB06203
DB00564	DB00734
DB00390	DB09102
DB00007	DB06603
DB00356	DB01403
DB00263	DB01222
DB00465	DB00919
DB00197	DB01067
DB00196	DB00604
DB00390	DB05521
DB00468	DB00960
DB00502	DB09118
DB00820	DB00881
DB01595	DB08900
DB00214	DB00482
DB00503	DB01048
DB00822	DB00916
DB00215	DB06290
DB00470	DB01215
DB00370	DB00434
DB00790	DB06203
DB00399	DB00955
DB00014	DB00726
DB00196	DB00980
DB00320	DB01263
DB01068	DB09054
DB00417	DB01418
DB00933	DB01253
DB00346	DB00752
DB01021	DB01436
DB01075	DB09076
DB00313	DB01294
DB00281	DB08820
DB00314	DB06696
DB00477	DB09034
DB00543	DB01409
DB00188	DB00370
DB00334	DB01251
DB00391	DB06153
DB00468	DB09026
DB00333	DB01174
DB00715	DB01178
DB00475	DB09073
DB00860	DB01601
DB00295	DB00332
DB00007	DB01175
DB00450	DB00998
DB00248	DB01210
DB01072	DB04946
DB00625	DB08907
DB00040	DB00734
DB00543	DB06204
DB00887	DB01172
DB00806	DB01418
DB00972	DB04837
DB00696	DB01618
DB00197	DB08826
DB00007	DB01320
DB00373	DB08935
DB00269	DB04908
DB00498	DB00682
DB00477	DB00921
DB00648	DB01223
DB00181	DB00850
DB06695	DB08893
DB00202	DB00994
DB00492	DB00734
DB01072	DB01129
DB00468	DB09027
DB00490	DB01239
DB00277	DB01489
DB00586	DB00794
DB00976	DB01427
DB00907	DB09273
DB00243	DB01030
DB00575	DB06704
DB00898	DB01198
DB01115	DB01119
DB01175	DB01224
DB00559	DB08883
DB00252	DB00541
DB00224	DB01254
DB01416	DB09104
DB00816	DB00945
DB01432	DB08880
DB00490	DB00502
DB01039	DB01432
DB00875	DB01021
DB00875	DB01175
DB00780	DB00960
DB01026	DB01253
DB01014	DB01050
DB00224	DB08931
DB00047	DB06663
DB00210	DB00707
DB01097	DB08880
DB00182	DB00909
DB00814	DB01356
DB00950	DB09076
DB00871	DB01620
DB00741	DB01097
DB01136	DB09282
DB00490	DB01104
DB00540	DB00857
DB00285	DB00573
DB00224	DB00661
DB00379	DB00571
DB00468	DB01115
DB01234	DB06176
DB00753	DB00822
DB01118	DB04861
DB00839	DB01276
DB00672	DB01242
DB00334	DB01215
DB01012	DB09039
DB00387	DB01224
DB00847	DB01129
DB00211	DB00752
DB01083	DB06410
DB00758	DB04825
DB00220	DB00661
DB00479	DB00681
DB01068	DB01173
DB03619	DB06700
DB00237	DB01214
DB00370	DB01114
DB00030	DB00104
DB00273	DB01069
DB00266	DB01294
DB00834	DB06717
DB01064	DB01576
DB00159	DB00586
DB00222	DB08815
DB00035	DB08976
DB00422	DB01390
DB00559	DB00932
DB01211	DB09262
DB01583	DB09210
DB00601	DB00924
DB00108	DB00688
DB00657	DB01190
DB00289	DB00865
DB00962	DB01041
DB00091	DB00607
DB00477	DB01577
DB00452	DB00712
DB00356	DB00765
DB00443	DB01124
DB00332	DB01075
DB00243	DB00705
DB00231	DB01320
DB06589	DB09048
DB01306	DB06655
DB01268	DB08914
DB00661	DB01195
DB00065	DB00108
DB00449	DB09273
DB09060	DB09268
DB00021	DB00979
DB00220	DB01215
DB00752	DB01274
DB06616	DB09104
DB01072	DB09074
DB00524	DB00652
DB01211	DB01320
DB00278	DB00374
DB00054	DB00078
DB01275	DB01353
DB00977	DB09280
DB00759	DB09146
DB01556	DB01576
DB06605	DB09036
DB00684	DB00833
DB00470	DB01576
DB00243	DB00950
DB00230	DB01017
DB00320	DB09065
DB01026	DB01232
DB00176	DB00266
DB00065	DB00335
DB00619	DB04817
DB01126	DB01263
DB00625	DB01264
DB00277	DB00628
DB00252	DB08815
DB00656	DB01072
DB00476	DB01115
DB00747	DB06148
DB00009	DB08976
DB00773	DB00864
DB00621	DB01124
DB00619	DB01073
DB00196	DB08877
DB00285	DB01418
DB01395	DB08907
DB00446	DB01166
DB00682	DB00993
DB00083	DB00245
DB00492	DB06196
DB01124	DB01357
DB00196	DB00619
DB00104	DB00621
DB00009	DB06605
DB00311	DB00708
DB08870	DB08881
DB00569	DB01397
DB00246	DB00918
DB00564	DB08883
DB00252	DB00908
DB00297	DB01359
DB00829	DB08933
DB02703	DB06413
DB01018	DB01392
DB01064	DB01274
DB00321	DB00932
DB00875	DB00934
DB00661	DB09026
DB00945	DB01016
DB00371	DB00653
DB00413	DB00829
DB00627	DB08860
DB00653	DB00726
DB00880	DB01354
DB04839	DB06290
DB01367	DB06153
DB00252	DB09063
DB00030	DB00491
DB00412	DB05278
DB01142	DB09272
DB00015	DB01009
DB00455	DB00921
DB00806	DB08813
DB01149	DB06603
DB00739	DB01024
DB00734	DB09038
DB00555	DB01211
DB00598	DB01353
DB01045	DB09100
DB00741	DB00945
DB00761	DB06282
DB00379	DB00499
DB01407	DB05039
DB09291	DB09330
DB05521	DB08864
DB00007	DB09039
DB00220	DB09401
DB01211	DB09102
DB00912	DB04876
DB00186	DB00252
DB00476	DB01207
DB00841	DB06706
DB00932	DB11095
DB01320	DB08934
DB00382	DB04861
DB00524	DB01016
DB00007	DB00331
DB00898	DB00982
DB00952	DB01038
DB00450	DB00834
DB00476	DB01100
DB00177	DB00712
DB00414	DB00668
DB00332	DB00967
DB01255	DB04842
DB01198	DB09072
DB00268	DB00708
DB00672	DB09043
DB00188	DB00208
DB01041	DB06688
DB00450	DB00557
DB00539	DB01072
DB00009	DB11095
DB00211	DB00346
DB00555	DB09123
DB00834	DB08918
DB00598	DB06711
DB00091	DB00959
DB00475	DB00673
DB01234	DB08886
DB00572	DB01367
DB00595	DB00732
DB00843	DB01624
DB01072	DB08816
DB00484	DB01100
DB00263	DB00563
DB00752	DB08907
DB00749	DB01225
DB01014	DB06822
DB01178	DB09068
DB00159	DB01242
DB00331	DB01232
DB01148	DB08897
DB01323	DB09063
DB01219	DB01323
DB00227	DB09065
DB00411	DB01193
DB00775	DB06695
DB00864	DB01167
DB00938	DB01232
DB00070	DB01161
DB00765	DB00802
DB00921	DB01037
DB00427	DB00895
DB00370	DB00968
DB01377	DB08931
DB01026	DB06724
DB00008	DB00363
DB00524	DB00780
DB01193	DB09063
DB01320	DB08873
DB00758	DB00976
DB00047	DB06335
DB00176	DB00696
DB00834	DB09065
DB00673	DB01285
DB00413	DB00697
DB00175	DB01238
DB00673	DB01175
DB00091	DB01059
DB00344	DB00715
DB01357	DB06290
DB01118	DB08933
DB00337	DB09054
DB01264	DB06480
DB01069	DB08912
DB00176	DB04884
DB00180	DB00648
DB00884	DB00976
DB05271	DB06288
DB00961	DB01407
DB01012	DB01242
DB00072	DB01248
DB00196	DB08815
DB00813	DB01364
DB01356	DB08815
DB00207	DB01030
DB00422	DB06144
DB00082	DB09045
DB00405	DB09272
DB00312	DB00691
DB00887	DB09242
DB00091	DB00594
DB00318	DB00887
DB00290	DB01656
DB00307	DB00367
DB00921	DB01168
DB00224	DB01624
DB00603	DB09065
DB00489	DB08868
DB00320	DB01239
DB00476	DB00876
DB00540	DB01355
DB00366	DB00748
DB00300	DB00919
DB00273	DB00344
DB00220	DB08867
DB00390	DB00524
DB00949	DB06201
DB00748	DB00956
DB01109	DB11249
DB06441	DB11133
DB00041	DB00734
DB00182	DB06723
DB05521	DB08816
DB00682	DB01395
DB00450	DB00967
DB00537	DB00707
DB00186	DB00206
DB05528	DB09288
DB01174	DB04845
DB00633	DB01158
DB00945	DB09295
DB00320	DB06808
DB01171	DB06764
DB01174	DB08912
DB00705	DB06273
DB00996	DB11093
DB00476	DB06144
DB01115	DB09054
DB06616	DB09036
DB06273	DB09570
DB00083	DB00387
DB00773	DB04817
DB00006	DB00374
DB00989	DB01359
DB00196	DB00696
DB00382	DB00734
DB00186	DB00193
DB00571	DB06589
DB00864	DB06168
DB00474	DB00790
DB00635	DB00681
DB00976	DB09053
DB00091	DB06696
DB00334	DB00843
DB01016	DB08912
DB00070	DB00296
DB00359	DB00559
DB01182	DB08895
DB00047	DB00903
DB00484	DB00564
DB00460	DB00679
DB00382	DB00662
DB00413	DB00423
DB00468	DB00622
DB00594	DB00790
DB00486	DB00871
DB00337	DB01257
DB00063	DB06605
DB00588	DB00752
DB01259	DB08827
DB00391	DB06700
DB00460	DB00880
DB00593	DB01173
DB00621	DB01418
DB00889	DB00924
DB05278	DB09046
DB00311	DB06204
DB00468	DB00503
DB00181	DB00186
DB00475	DB01254
DB00270	DB01143
DB00201	DB06213
DB00333	DB00999
DB00458	DB04842
DB00307	DB08864
DB00418	DB01045
DB00697	DB09063
DB01201	DB01590
DB00687	DB08899
DB00176	DB01175
DB00030	DB00741
DB00745	DB08899
DB00181	DB00215
DB01267	DB08907
DB06616	DB09063
DB00959	DB01251
DB00700	DB09063
DB00191	DB00767
DB00072	DB08895
DB00191	DB00841
DB05521	DB08899
DB00679	DB04884
DB00366	DB00404
DB00501	DB01118
DB01041	DB06204
DB00314	DB03615
DB01201	DB09030
DB00266	DB09323
DB00690	DB06204
DB00758	DB01211
DB00176	DB01223
DB06290	DB09034
DB00408	DB00543
DB00829	DB00898
DB00490	DB00767
DB00503	DB06273
DB01357	DB04876
DB01577	DB05812
DB00436	DB00844
DB00436	DB00687
DB00007	DB00675
DB00363	DB05015
DB01109	DB11095
DB00679	DB00857
DB00457	DB01115
DB00366	DB01224
DB00312	DB00898
DB00266	DB01182
DB00220	DB08439
DB01023	DB01167
DB00208	DB00540
DB01156	DB08865
DB01174	DB08873
DB00788	DB09214
DB00830	DB01223
DB00985	DB09117
DB00282	DB08910
DB04908	DB09123
DB00289	DB00816
DB00321	DB01278
DB00007	DB00697
DB01174	DB01284
DB00029	DB00605
DB00418	DB09123
DB00933	DB01069
DB00951	DB01234
DB01254	DB09063
DB00181	DB01236
DB00344	DB00422
DB06700	DB09053
DB00434	DB01175
DB08879	DB10829
DB00497	DB01232
DB00338	DB09280
DB01075	DB08893
DB00768	DB01409
DB00742	DB01143
DB01082	DB01112
DB00257	DB04908
DB04855	DB08912
DB00331	DB01357
DB00875	DB01278
DB00712	DB00932
DB00682	DB00860
DB00834	DB01016
DB00285	DB01238
DB00393	DB08815
DB01656	DB08904
DB00363	DB08811
DB00367	DB01353
DB00908	DB01263
DB00425	DB00623
DB00317	DB00794
DB00484	DB00657
DB00834	DB04835
DB01149	DB01224
DB00041	DB01029
DB00393	DB06207
DB00919	DB01150
DB01306	DB01319
DB05278	DB06203
DB00245	DB00295
DB00021	DB00726
DB00452	DB00554
DB00573	DB06228
DB06290	DB06717
DB00297	DB01193
DB00328	DB11133
DB00254	DB06724
DB00949	DB01323
DB00563	DB01050
DB00497	DB08820
DB00937	DB01171
DB01167	DB01590
DB01238	DB06273
DB08867	DB09036
DB01029	DB01238
DB00715	DB00771
DB00091	DB06413
DB00588	DB01064
DB09119	DB09291
DB00029	DB00715
DB00364	DB01026
DB01356	DB08976
DB00280	DB08868
DB00311	DB00854
DB06273	DB09053
DB00241	DB00622
DB00601	DB01407
DB00181	DB04946
DB00311	DB00564
DB00679	DB08893
DB01403	DB01579
DB00042	DB00684
DB00211	DB06701
DB01197	DB06196
DB00476	DB00727
DB00457	DB00612
DB00623	DB09034
DB01100	DB08815
DB00440	DB09036
DB00798	DB00814
DB00356	DB00484
DB00932	DB06228
DB00742	DB01354
DB00413	DB01176
DB00434	DB04924
DB01023	DB09048
DB00860	DB01309
DB01039	DB09064
DB00433	DB00543
DB01320	DB01567
DB01120	DB01406
DB00333	DB08820
DB00384	DB00956
DB00898	DB01418
DB00673	DB08875
DB00214	DB01172
DB00014	DB00107
DB00841	DB09273
DB01032	DB01165
DB01193	DB01223
DB00390	DB00480
DB06210	DB08826
DB00696	DB01211
DB01069	DB01623
DB01223	DB01288
DB00813	DB06711
DB00366	DB00450
DB01118	DB08868
DB00233	DB00266
DB00343	DB00457
DB00484	DB00543
DB00715	DB01233
DB00318	DB00715
DB00603	DB00776
DB00275	DB01392
DB00285	DB06144
DB08822	DB08935
DB00503	DB06228
DB01601	DB08914
DB00775	DB01296
DB00458	DB09034
DB00687	DB01097
DB01124	DB09046
DB00715	DB01114
DB00569	DB09030
DB00957	DB06335
DB01359	DB08895
DB00474	DB06292
DB00202	DB00813
DB00804	DB04924
DB00215	DB06144
DB08820	DB09118
DB00706	DB01427
DB00475	DB00972
DB00470	DB01556
DB00715	DB01081
DB00966	DB09242
DB00290	DB00864
DB00046	DB00695
DB06288	DB06684
DB00196	DB09034
DB00661	DB00938
DB00554	DB09063
DB00619	DB09083
DB01411	DB09063
DB00108	DB08868
DB00159	DB01050
DB00352	DB00363
DB00603	DB01072
DB00030	DB00233
DB01017	DB01151
DB00070	DB01364
DB00715	DB09072
DB01174	DB09101
DB01174	DB06414
DB00312	DB01018
DB00104	DB01307
DB00358	DB00849
DB00346	DB08873
DB01149	DB08895
DB00543	DB00834
DB00368	DB06714
DB00565	DB01190
DB00934	DB01267
DB00972	DB01320
DB00031	DB06692
DB00542	DB09276
DB01026	DB01201
DB00628	DB08912
DB00607	DB01023
DB00492	DB00697
DB00648	DB00656
DB00331	DB09009
DB00575	DB00794
DB00559	DB06210
DB00829	DB00921
DB00687	DB01021
DB00346	DB00820
DB00484	DB09034
DB00608	DB04910
DB00474	DB01136
DB01193	DB06701
DB00215	DB01182
DB00294	DB00474
DB00401	DB06724
DB00738	DB00834
DB00257	DB01238
DB00435	DB00499
DB00484	DB01340
DB00237	DB01017
DB00413	DB00813
DB00246	DB00366
DB01149	DB01614
DB00482	DB01032
DB00081	DB01109
DB01072	DB06287
DB00972	DB09290
DB00468	DB04861
DB01463	DB01579
DB00604	DB01244
DB00794	DB00975
DB00320	DB06717
DB00230	DB00358
DB00528	DB00758
DB00979	DB01278
DB00503	DB00648
DB00232	DB00418
DB00346	DB00489
DB09034	DB09300
DB01320	DB04841
DB00375	DB01076
DB00181	DB00899
DB00898	DB09034
DB04844	DB06808
DB00063	DB00682
DB00390	DB00700
DB00007	DB08893
DB00696	DB01614
DB00176	DB00608
DB00396	DB01220
DB00266	DB00567
DB00598	DB00907
DB00206	DB01171
DB00700	DB01254
DB00333	DB00695
DB00237	DB00742
DB01254	DB09053
DB00715	DB00880
DB01176	DB09272
DB00470	DB01624
DB00215	DB00477
DB00021	DB01403
DB00854	DB00999
DB00343	DB00648
DB00433	DB00952
DB00264	DB00820
DB00015	DB01175
DB00065	DB01193
DB00390	DB01575
DB00214	DB00708
DB00492	DB00893
DB00564	DB04841
DB00745	DB06711
DB00998	DB06808
DB01168	DB06153
DB01100	DB06204
DB00381	DB00648
DB00455	DB00661
DB01270	DB08879
DB00280	DB06273
DB00492	DB09220
DB00818	DB01041
DB00700	DB08813
DB00086	DB00215
DB00872	DB08896
DB00945	DB01277
DB00561	DB00816
DB08813	DB11249
DB00181	DB01175
DB00252	DB00563
DB00457	DB01162
DB00454	DB01367
DB00227	DB01609
DB00388	DB00907
DB00653	DB01192
DB00220	DB00541
DB00042	DB00662
DB00165	DB01320
DB00396	DB06822
DB00295	DB00742
DB00758	DB08794
DB01624	DB06204
DB06626	DB08899
DB01119	DB01251
DB00465	DB09295
DB00479	DB00948
DB01263	DB08820
DB00715	DB00962
DB00243	DB00836
DB00181	DB00875
DB00252	DB00834
DB00091	DB00270
DB00405	DB00484
DB01255	DB01556
DB00104	DB04844
DB01211	DB06605
DB01100	DB08899
DB01048	DB06290
DB00366	DB09271
DB05521	DB09071
DB00031	DB01418
DB01118	DB06480
DB00193	DB01403
DB00358	DB01609
DB00180	DB08899
DB00255	DB00494
DB00713	DB01032
DB00230	DB01041
DB00078	DB00749
DB00912	DB08815
DB00541	DB00834
DB00648	DB06603
DB00880	DB04876
DB00083	DB00427
DB00318	DB01075
DB00875	DB09271
DB00423	DB00956
DB00216	DB09065
DB00412	DB00672
DB00047	DB01169
DB00682	DB01110
DB01149	DB01463
DB00628	DB01232
DB01219	DB08933
DB00220	DB09034
DB00199	DB09036
DB00312	DB00661
DB00033	DB00277
DB00696	DB05521
DB00734	DB09477
DB01012	DB09068
DB00074	DB01097
DB00232	DB00930
DB00065	DB06228
DB00021	DB00341
DB01017	DB01339
DB01063	DB01367
DB00887	DB01114
DB00310	DB01353
DB00199	DB01323
DB00222	DB00501
DB00270	DB09048
DB00541	DB04855
DB00177	DB00749
DB00919	DB01050
DB01264	DB08932
DB00862	DB01029
DB00305	DB00337
DB00762	DB00872
DB00343	DB08896
DB00582	DB09280
DB00321	DB00601
DB01076	DB08912
DB00623	DB00843
DB01074	DB11126
DB01023	DB01238
DB00588	DB06711
DB00014	DB01072
DB01024	DB01061
DB06206	DB06605
DB00653	DB09104
DB00015	DB00233
DB00327	DB01037
DB00497	DB00898
DB00619	DB01174
DB00991	DB01275
DB00091	DB01406
DB00679	DB01377
DB00205	DB01403
DB00214	DB00390
DB00081	DB00261
DB00188	DB01166
DB00266	DB01181
DB00422	DB00501
DB00726	DB09048
DB01023	DB09282
DB01609	DB08865
DB08794	DB09079
DB00163	DB00861
DB00220	DB05239
DB00311	DB00852
DB00343	DB09059
DB00022	DB00924
DB00254	DB01045
DB00176	DB01558
DB00783	DB00990
DB00176	DB00472
DB00769	DB09063
DB00091	DB05521
DB00313	DB00540
DB00072	DB08877
DB00199	DB01181
DB01238	DB06203
DB00316	DB06711
DB06413	DB09118
DB00334	DB06700
DB01254	DB01268
DB08870	DB08899
DB00783	DB01309
DB00382	DB00635
DB00333	DB06144
DB00178	DB04884
DB00540	DB01623
DB00623	DB01238
DB00254	DB01603
DB00537	DB00806
DB00413	DB01174
DB00007	DB00334
DB00461	DB00715
DB00715	DB01403
DB00753	DB00834
DB00344	DB00933
DB00204	DB08864
DB01211	DB09166
DB00794	DB01612
DB00497	DB00524
DB00933	DB06684
DB00007	DB08914
DB00605	DB01021
DB00679	DB09083
DB00734	DB09401
DB00798	DB01061
DB00470	DB01351
DB00571	DB09242
DB00765	DB00924
DB00523	DB00834
DB00765	DB06282
DB00921	DB06201
DB00273	DB08897
DB00405	DB00972
DB00682	DB01381
DB00206	DB01242
DB00484	DB01041
DB00081	DB01104
DB00590	DB01235
DB00980	DB01124
DB00620	DB05521
DB00661	DB08820
DB00246	DB00898
DB00370	DB01221
DB01174	DB08901
DB00323	DB00368
DB00204	DB00582
DB00203	DB01101
DB01203	DB01355
DB00041	DB09135
DB00618	DB01294
DB00374	DB00603
DB00006	DB09079
DB00881	DB00893
DB00834	DB01120
DB00460	DB06659
DB00498	DB01357
DB00269	DB00480
DB00686	DB00788
DB00307	DB05109
DB01167	DB09065
DB00834	DB06789
DB00379	DB08881
DB01590	DB09036
DB00047	DB00621
DB00820	DB01613
DB00498	DB06700
DB00555	DB11110
DB00295	DB00424
DB01156	DB09128
DB00267	DB01032
DB00332	DB04837
DB00498	DB00586
DB00887	DB09220
DB08883	DB09123
DB01427	DB09104
DB00020	DB00290
DB00404	DB08900
DB00946	DB01254
DB00661	DB08889
DB00211	DB01037
DB00742	DB09242
DB00570	DB00673
DB00412	DB00912
DB00191	DB00502
DB00337	DB00997
DB00270	DB09220
DB00224	DB01259
DB00454	DB00767
DB00945	DB08918
DB01264	DB04938
DB01418	DB11133
DB00864	DB01149
DB00420	DB09034
DB00956	DB01198
DB01026	DB01076
DB00363	DB04868
DB00238	DB01609
DB01175	DB01624
DB00206	DB01403
DB00400	DB00474
DB01166	DB09119
DB01030	DB01211
DB00230	DB00691
DB00652	DB00999
DB00615	DB09143
DB00014	DB08871
DB00418	DB01136
DB00555	DB00582
DB06643	DB06813
DB00956	DB01132
DB00184	DB01118
DB00458	DB06704
DB00104	DB01158
DB01124	DB08815
DB00420	DB00460
DB01026	DB01181
DB00794	DB04899
DB00188	DB00977
DB01151	DB08873
DB01656	DB05259
DB00281	DB09118
DB00215	DB08933
DB01045	DB01074
DB00780	DB06714
DB01054	DB01337
DB00668	DB01365
DB00278	DB06271
DB00686	DB01009
DB00390	DB01010
DB00715	DB00996
DB00946	DB11095
DB00243	DB01076
DB01060	DB09268
DB01037	DB06153
DB00418	DB01113
DB00468	DB09083
DB01247	DB01393
DB01182	DB09118
DB00582	DB01248
DB00540	DB00752
DB00794	DB01359
DB00042	DB00986
DB00502	DB00813
DB00482	DB00997
DB00073	DB00691
DB00081	DB00108
DB06626	DB08933
DB01274	DB06711
DB00214	DB01337
DB00839	DB01110
DB00220	DB01591
DB01032	DB08909
DB01168	DB06144
DB01590	DB06335
DB00283	DB08883
DB00686	DB00974
DB01238	DB02703
DB00457	DB04884
DB01072	DB08914
DB00091	DB00384
DB00294	DB00582
DB00502	DB00540
DB01098	DB02703
DB00401	DB01397
DB00679	DB01151
DB01248	DB08912
DB00937	DB09042
DB00460	DB01128
DB00677	DB01149
DB00176	DB01087
DB00175	DB00266
DB00289	DB00610
DB00367	DB09065
DB01166	DB08873
DB00497	DB01037
DB00603	DB01211
DB09039	DB09065
DB00450	DB01189
DB00687	DB00951
DB00213	DB01066
DB01142	DB09034
DB00261	DB09211
DB00502	DB04861
DB00641	DB01264
DB00490	DB08912
DB01323	DB01357
DB00668	DB00672
DB00988	DB09080
DB00153	DB01406
DB01162	DB01235
DB00381	DB00752
DB00311	DB00318
DB00042	DB01142
DB00648	DB09061
DB00872	DB04839
DB06643	DB09052
DB00199	DB06290
DB00443	DB00673
DB00598	DB00862
DB01240	DB08794
DB04845	DB09065
DB00615	DB06603
DB00449	DB00489
DB00108	DB08910
DB00476	DB00752
DB00344	DB09241
DB00263	DB01307
DB00480	DB06688
DB01175	DB06290
DB00537	DB01232
DB00202	DB00333
DB01042	DB08895
DB01392	DB04920
DB00458	DB00904
DB00015	DB00814
DB00188	DB01149
DB00474	DB01173
DB00575	DB00820
DB00554	DB06695
DB00220	DB06207
DB00013	DB01397
