,Drug_ID,Protein_ID,label
3098,DB00468,P24462,1
3099,DB00409,P28223,1
3100,DB00321,P10635,1
3101,DB01378,P05023,1
3102,DB07323,P50579,1
3103,DB00799,P13631,1
3104,DB00142,P49915,1
3105,DB00142,Q8N159,1
3106,DB01559,Q99928,1
3107,DB01349,P50052,1
3108,DB03496,P50613,1
3109,DB01392,P28221,1
3110,DB04754,P00491,1
3111,DB04855,P08588,1
3112,DB04926,Q8TCU5,1
3113,DB05241,P48736,1
3114,DB08804,P27338,1
3115,DB07821,Q13093,1
3116,DB02091,P24941,1
3117,DB07369,P08581,1
3118,DB07942,Q16539,1
3119,DB01205,P47870,1
3120,DB07639,P00734,1
3121,DB08468,P68400,1
3122,DB01640,Q13370,1
3123,DB00013,Q9Y5Y6,1
3124,DB05066,P22301,1
3125,DB01333,P08684,1
3126,DB00998,P28221,1
3127,DB04404,Q13231,1
3128,DB01184,P35462,1
3129,DB00266,P15559,1
3130,DB00157,O00483,1
3131,DB00381,P20815,1
3132,DB00184,Q15825,1
3133,DB00273,P47869,1
3134,DB05492,P41595,1
3135,DB01198,P23219,1
3136,DB08040,P09960,1
3137,DB06589,P17948,1
3138,DB00342,P35367,1
3139,DB01207,P24557,1
3140,DB00376,P08173,1
3141,DB01105,P08684,1
3142,DB05407,P05305,1
3143,DB01023,P08235,1
3144,DB03507,P19438,1
3145,DB00526,Q16678,1
3146,DB04638,O14983,1
3147,DB00526,P04798,1
3148,DB00363,P08913,1
3149,DB01224,P35348,1
3150,DB00882,P11509,1
3151,DB04977,P05181,1
3152,DB07574,Q9BQE3,1
3153,DB06209,P08684,1
3154,DB00502,P24462,1
3155,DB00139,Q32P28,1
3156,DB05036,O14746,1
3157,DB00421,P04278,1
3158,DB08864,P08684,1
3159,DB00580,P33261,1
3160,DB00497,P20815,1
3161,DB00731,P20815,1
3162,DB04903,P47869,1
3163,DB08283,P04062,1
3164,DB02366,P07477,1
3165,DB00897,P11712,1
3166,DB01016,O95477,1
3167,DB04574,P03372,1
3168,DB04522,P05451,1
3169,DB00477,P34969,1
3170,DB00622,Q01668,1
3171,DB00162,Q92781,1
3172,DB08533,P24941,1
3173,DB00257,P11511,1
3174,DB08326,Q96GR2,1
3175,DB00142,O94925,1
3176,DB00758,P20813,1
3177,DB01244,P63316,1
3178,DB01058,Q9HB55,1
3179,DB04912,P30519,1
3180,DB01277,P06213,1
3181,DB00214,P23219,1
3182,DB08738,P48147,1
3183,DB01001,P08588,1
3184,DB01136,P16581,1
3185,DB00046,P05177,1
3186,DB00675,P11509,1
3187,DB00788,P11712,1
3188,DB01060,P33261,1
3189,DB08051,P27487,1
3190,DB01007,P05181,1
3191,DB00006,P05164,1
3192,DB00215,P35348,1
3193,DB06945,Q9UNA0,1
3194,DB01548,P41145,1
3195,DB01074,P20813,1
3196,DB00220,P20813,1
3197,DB00794,P43681,1
3198,DB07053,P37231,1
3199,DB07218,Q9UQF2,1
3200,DB07421,P10275,1
3201,DB00619,P16234,1
3202,DB01041,P01375,1
3203,DB06216,P28223,1
3204,DB00264,P07550,1
3205,DB00996,P30542,1
3206,DB00017,P30988,1
3207,DB05786,Q96AE4,1
3208,DB01169,P27361,1
3209,DB06080,P35968,1
3210,DB03251,P07477,1
3211,DB00958,P09488,1
3212,DB08413,P05187,1
3213,DB03225,P14920,1
3214,DB02264,P14210,1
3215,DB00066,P23945,1
3216,DB00463,Q9UN88,1
3217,DB08690,P00156,1
3218,DB00753,P05181,1
3219,DB00114,P11216,1
3220,DB00110,P08637,1
3221,DB00110,P02746,1
3222,DB06711,P35348,1
3223,DB06702,P08684,1
3224,DB01544,P11509,1
3225,DB05073,Q96EB6,1
3226,DB07895,P49356,1
3227,DB00184,P08684,1
3228,DB00074,P12314,1
3229,DB08848,P30531,1
3230,DB05382,P03915,1
3231,DB08353,P68400,1
3232,DB00151,Q9Y697,1
3233,DB02994,P29474,1
3234,DB06956,P07900,1
3235,DB05109,P10635,1
3236,DB03010,P07437,1
3237,DB00795,P24752,1
3238,DB08200,P06276,1
3239,DB08357,P22303,1
3240,DB01065,P49286,1
3241,DB06846,P04035,1
3242,DB07873,O95749,1
3243,DB00334,P41595,1
3244,DB08620,Q494W8,1
3245,DB00092,P02747,1
3246,DB01224,P21728,1
3247,DB02162,P49773,1
3248,DB00246,P08172,1
3249,DB01181,P11712,1
3250,DB05080,Q9Y5N1,1
3251,DB06841,P00734,1
3252,DB00844,P35372,1
3253,DB07027,P00734,1
3254,DB07778,Q9UDW1,1
3255,DB07659,P00734,1
3256,DB05161,P08246,1
3257,DB08167,P22303,1
3258,DB00887,P55011,1
3259,DB05829,P49190,1
3260,DB00744,O60656,1
3261,DB07778,P08574,1
3262,DB03385,P00918,1
3263,DB04920,Q13936,1
3264,DB00393,Q13936,1
3265,DB00231,P30536,1
3266,DB00976,P10635,1
3267,DB05759,P08069,1
3268,DB00897,P30536,1
3269,DB01355,P33261,1
3270,DB07389,P35228,1
3271,DB01037,P20813,1
3272,DB00922,Q14654,1
3273,DB00801,P31644,1
3274,DB02556,P06850,1
3275,DB00146,O15528,1
3276,DB00321,P08684,1
3277,DB00753,O14764,1
3278,DB00025,P00734,1
3279,DB02597,P08473,1
3280,DB01193,P07550,1
3281,DB03203,P15151,1
3282,DB05492,P35348,1
3283,DB01079,Q13639,1
3284,DB00285,P10635,1
3285,DB01115,Q09470,1
3286,DB01364,P22303,1
3287,DB01244,P62158,1
3288,DB02759,P61626,1
3289,DB04105,P00325,1
3290,DB05494,P27707,1
3291,DB00316,P05177,1
3292,DB00721,Q9Y5Y9,1
3293,DB08056,P06239,1
3294,DB02047,P23219,1
3295,DB00157,P47989,1
3296,DB01162,P35348,1
3297,DB06637,Q14003,1
3298,DB00835,P05181,1
3299,DB00404,P31644,1
3300,DB05022,P11388,1
3301,DB00686,P05230,1
3302,DB00075,P00736,1
3303,DB06977,P17612,1
3304,DB01254,P06239,1
3305,DB04315,P10114,1
3306,DB08515,P28072,1
3307,DB00726,P13945,1
3308,DB01591,P08172,1
3309,DB00254,Q9UM07,1
3310,DB01110,P11712,1
3311,DB03461,P04035,1
3312,DB01234,P20813,1
3313,DB00098,P05106,1
3314,DB00454,P08912,1
3315,DB00544,P04818,1
3316,DB00521,P07550,1
3317,DB00731,P24462,1
3318,DB00126,Q96KS0,1
3319,DB06879,P35228,1
3320,DB04315,P13639,1
3321,DB01106,O95665,1
3322,DB01234,Q9HB55,1
3323,DB00457,P08913,1
3324,DB04469,Q08499,1
3325,DB00143,P30711,1
3326,DB05745,P09960,1
3327,DB01189,P42261,1
3328,DB07182,P15086,1
3329,DB08180,P49354,1
3330,DB01388,Q13936,1
3331,DB00142,Q9ULK0,1
3332,DB07503,P48736,1
3333,DB01182,Q14524,1
3334,DB00135,P17735,1
3335,DB02563,P30084,1
3336,DB05187,Q03181,1
3337,DB00633,P08913,1
3338,DB04147,Q02127,1
3339,DB00114,Q16719,1
3340,DB00740,Q9UPY5,1
3341,DB05471,Q00653,1
3342,DB05139,Q9GZP0,1
3343,DB01437,P18507,1
3344,DB00543,P23975,1
3345,DB08811,Q14432,1
3346,DB08932,P25101,1
3347,DB05412,P01584,1
3348,DB08080,Q969V6,1
3349,DB01708,Q05586,1
3350,DB01238,P28335,1
3351,DB02623,P60953,1
3352,DB00165,P04798,1
3353,DB04616,P22303,1
3354,DB02379,O14594,1
3355,DB00193,P08684,1
3356,DB00201,P27815,1
3357,DB00143,P78417,1
3358,DB00186,P14867,1
3359,DB07431,P24941,1
3360,DB07637,P19235,1
3361,DB08426,P00742,1
3362,DB00995,O14920,1
3363,DB01191,P11712,1
3364,DB00321,P28221,1
3365,DB08885,P15692,1
3366,DB03010,Q13748,1
3367,DB01238,P35367,1
3368,DB01088,Q08499,1
3369,DB02210,P04054,1
3370,DB06706,Q05940,1
3371,DB00072,P12314,1
3372,DB00843,P10635,1
3373,DB00517,P11229,1
3374,DB01734,P18031,1
3375,DB00218,P11388,1
3376,DB00286,P08684,1
3377,DB06101,P17948,1
3378,DB00481,P10632,1
3379,DB07239,P27487,1
3380,DB04881,P08183,1
3381,DB03147,Q92947,1
3382,DB04459,P00746,1
3383,DB00987,P32320,1
3384,DB06709,P20309,1
3385,DB03088,P0CG04,1
3386,DB00721,Q9H2S1,1
3387,DB06216,P28222,1
3388,DB08813,P16109,1
3389,DB00536,P07998,1
3390,DB00191,P23975,1
3391,DB08814,P19838,1
3392,DB04094,P62942,1
3393,DB04395,P55072,1
3394,DB04602,P61927,1
3395,DB01129,P20648,1
3396,DB03401,P35241,1
3397,DB00898,Q13936,1
3398,DB07592,P43235,1
3399,DB00725,P08173,1
3400,DB06720,P04062,1
3401,DB06865,P00734,1
3402,DB00129,P50440,1
3403,DB00454,P35372,1
3404,DB01159,Q9NPC2,1
3405,DB00674,P17787,1
3406,DB01223,P08684,1
3407,DB02709,P05177,1
3408,DB03428,P24941,1
3409,DB08930,Q9HB55,1
3410,DB01579,P23975,1
3411,DB07230,Q92731,1
3412,DB06204,P23975,1
3413,DB00969,P05177,1
3414,DB00143,Q9NS18,1
3415,DB04306,Q86XF0,1
3416,DB03330,Q04760,1
3417,DB03991,Q9Y3R4,1
3418,DB00514,P11712,1
3419,DB07401,P47985,1
3420,DB07336,O14757,1
3421,DB00659,O14764,1
3422,DB02308,P35030,1
3423,DB07586,Q9BY41,1
3424,DB00589,P41595,1
3425,DB00518,P08684,1
3426,DB05129,P11388,1
3427,DB01497,P41145,1
3428,DB00508,P21728,1
3429,DB00142,Q16099,1
3430,DB08173,P00742,1
3431,DB08258,P34913,1
3432,DB08818,P10915,1
3433,DB00675,P05181,1
3434,DB00980,P08684,1
3435,DB01962,P08631,1
3436,DB03496,P49336,1
3437,DB03959,P14210,1
3438,DB01406,P13500,1
3439,DB00540,P35367,1
3440,DB01842,P07998,1
3441,DB00074,P02747,1
3442,DB05386,P06276,1
3443,DB04101,P24941,1
3444,DB04444,P63096,1
3445,DB00208,P33261,1
3446,DB00470,P11712,1
3447,DB00879,P27707,1
3448,DB00582,P33261,1
3449,DB05194,P04141,1
3450,DB00147,O00764,1
3451,DB00313,P19224,1
3452,DB00500,P35354,1
3453,DB03633,P17900,1
3454,DB01953,Q16539,1
3455,DB08386,Q9Y233,1
3456,DB00668,P35368,1
3457,DB08614,Q9UNI1,1
3458,DB00284,P10253,1
3459,DB07115,Q8N1Q1,1
3460,DB00139,Q99643,1
3461,DB06404,P05155,1
3462,DB00186,P18507,1
3463,DB00526,P00441,1
3464,DB04786,P21817,1
3465,DB00822,P05181,1
3466,DB01079,P11712,1
3467,DB01151,P08173,1
3468,DB07788,P28482,1
3469,DB00909,P43166,1
3470,DB01559,P31644,1
3471,DB00981,P22303,1
3472,DB07247,P13726,1
3473,DB00938,P10632,1
3474,DB07108,Q07817,1
3475,DB00398,P09619,1
3476,DB00563,P31939,1
3477,DB01026,P10275,1
3478,DB01359,P28222,1
3479,DB01412,P05181,1
3480,DB02587,Q08462,1
3481,DB08805,P25021,1
3482,DB00056,P02746,1
3483,DB04715,P11309,1
3484,DB01915,Q9BWD1,1
3485,DB05744,P02741,1
3486,DB01054,O95180,1
3487,DB00157,Q9UI09,1
3488,DB01201,Q9HB55,1
3489,DB08632,P69905,1
3490,DB01167,P05181,1
3491,DB00918,P21397,1
3492,DB08888,P08697,1
3493,DB00653,Q08289,1
3494,DB01206,P08684,1
3495,DB01870,P19961,1
3496,DB03373,P07477,1
3497,DB03435,P46976,1
3498,DB00363,P08912,1
3499,DB01186,P28221,1
3500,DB00898,P48169,1
3501,DB04840,P04798,1
3502,DB04141,P14927,1
3503,DB00142,P48507,1
3504,DB01354,P48169,1
3505,DB00185,Q01740,1
3506,DB00186,Q16445,1
3507,DB07700,P42330,1
3508,DB08088,P10275,1
3509,DB07353,P00734,1
3510,DB00773,P20815,1
3511,DB00157,P30043,1
3512,DB05134,P07900,1
3513,DB05509,P08908,1
3514,DB01427,Q07343,1
3515,DB07950,Q16773,1
3516,DB00540,P11712,1
3517,DB01231,P20309,1
3518,DB01075,P23219,1
3519,DB00116,P34896,1
3520,DB00934,P35367,1
3521,DB05676,Q07343,1
3522,DB01035,P26358,1
3523,DB00834,P10635,1
3524,DB05773,P08684,1
3525,DB00266,Q9BQB6,1
3526,DB00241,P36544,1
3527,DB07307,Q16539,1
3528,DB00543,P08912,1
3529,DB03084,P53779,1
3530,DB00002,P02745,1
3531,DB00142,Q6YP21,1
3532,DB07450,P15121,1
3533,DB00451,P10828,1
3534,DB03740,P12821,1
3535,DB07827,P45452,1
3536,DB00458,P21918,1
3537,DB01424,P05177,1
3538,DB00454,Q12879,1
3539,DB00332,P11229,1
3540,DB08804,P11511,1
3541,DB00945,P10632,1
3542,DB00142,Q13003,1
3543,DB00814,P08684,1
3544,DB00696,P28221,1
3545,DB00135,P54577,1
3546,DB05452,P37288,1
3547,DB00334,P08173,1
3548,DB00571,P08684,1
3549,DB03783,P33261,1
3550,DB00477,P21728,1
3551,DB06738,P20813,1
3552,DB00568,P14416,1
3553,DB00176,P10635,1
3554,DB05134,P08238,1
3555,DB00572,P11229,1
3556,DB00818,Q99928,1
3557,DB00598,P35368,1
3558,DB03754,P07585,1
3559,DB03632,Q13231,1
3560,DB01223,P30542,1
3561,DB01588,P08684,1
3562,DB06203,P27487,1
3563,DB00762,P22309,1
3564,DB01255,Q01959,1
3565,DB01437,P05108,1
3566,DB04643,P11217,1
3567,DB04841,P62158,1
3568,DB04941,Q5XXA6,1
3569,DB08864,P20813,1
3570,DB00466,P14867,1
3571,DB00635,P33261,1
3572,DB00794,P11712,1
3573,DB01137,P11388,1
3574,DB01159,Q16445,1
3575,DB00139,P55809,1
3576,DB05266,P27815,1
3577,DB05475,O60603,1
3578,DB00153,P11473,1
3579,DB00475,P47869,1
3580,DB06287,P08684,1
3581,DB06148,P35462,1
3582,DB07135,P27487,1
3583,DB01221,P41143,1
3584,DB01589,P33261,1
3585,DB00770,P43116,1
3586,DB01355,P05177,1
3587,DB08809,Q15118,1
3588,DB01054,Q13698,1
3589,DB00142,P00505,1
3590,DB06777,Q96RI1,1
3591,DB00709,Q8TCD5,1
3592,DB04387,P00797,1
3593,DB00935,P35348,1
3594,DB00999,P22748,1
3595,DB08355,P20248,1
3596,DB07485,P62508,1
3597,DB02096,P00813,1
3598,DB03849,Q08499,1
3599,DB00668,P35348,1
3600,DB08893,P06276,1
3601,DB04141,P16442,1
3602,DB00548,P31213,1
3603,DB01765,P68400,1
3604,DB04544,P11217,1
3605,DB00242,P00491,1
3606,DB01049,Q13639,1
3607,DB00231,P48169,1
3608,DB07613,O60760,1
3609,DB06637,P17658,1
3610,DB03796,P10632,1
3611,DB00745,P35368,1
3612,DB00617,P11712,1
3613,DB01704,P17538,1
3614,DB07522,P00734,1
3615,DB01564,P10275,1
3616,DB00122,P22303,1
3617,DB00025,Q8NI22,1
3618,DB01785,P14324,1
3619,DB00313,P11509,1
3620,DB01076,P11712,1
3621,DB05892,P01138,1
3622,DB01149,P23975,1
3623,DB00421,P10275,1
3624,DB00142,Q9H1K4,1
3625,DB07546,P19784,1
3626,DB00433,P10635,1
3627,DB00150,P23381,1
3628,DB03191,Q00266,1
3629,DB04799,P08574,1
3630,DB05470,P01584,1
3631,DB00852,P60568,1
3632,DB00381,P20813,1
3633,DB08815,P34969,1
3634,DB06919,P00734,1
3635,DB01594,P28476,1
3636,DB00312,P47870,1
3637,DB00531,P33261,1
3638,DB00869,P00918,1
3639,DB00231,Q16445,1
3640,DB00543,P31644,1
3641,DB04216,P08631,1
3642,DB00435,P05091,1
3643,DB00231,Q99928,1
3644,DB00347,P11712,1
3645,DB02527,Q9UL51,1
3646,DB00039,P22607,1
3647,DB01017,P09917,1
3648,DB00005,P20333,1
3649,DB00227,P04035,1
3650,DB03044,Q16539,1
3651,DB04841,P04798,1
3652,DB00773,P05177,1
3653,DB05072,P25103,1
3654,DB00322,P04818,1
3655,DB07364,Q15078,1
3656,DB00683,Q16445,1
3657,DB00458,P08908,1
3658,DB00988,P21918,1
3659,DB01159,P23415,1
3660,DB00601,P27338,1
3661,DB01189,P48169,1
3662,DB00908,P10635,1
3663,DB02850,P32754,1
3664,DB00501,P31513,1
3665,DB07016,P00734,1
3666,DB01420,P22309,1
3667,DB07815,Q6P093,1
3668,DB03144,P29475,1
3669,DB06016,P10635,1
3670,DB06878,P00734,1
3671,DB02309,P00492,1
3672,DB08486,P69905,1
3673,DB09075,P00742,1
3674,DB00116,P11586,1
3675,DB04867,P32238,1
3676,DB00363,P11229,1
3677,DB02545,Q96RI1,1
3678,DB00425,P24462,1
3679,DB01439,P35372,1
3680,DB08464,P08238,1
3681,DB04953,P35503,1
3682,DB01346,O00180,1
3683,DB04794,P11511,1
3684,DB04462,P68400,1
3685,DB00172,P13674,1
3686,DB01594,O14764,1
3687,DB02705,P00749,1
3688,DB04859,P22303,1
3689,DB08141,P24941,1
3690,DB07161,O60674,1
3691,DB07954,O60658,1
3692,DB03577,P15309,1
3693,DB01694,P21283,1
3694,DB01623,P10635,1
3695,DB04707,P61925,1
3696,DB00100,P00451,1
3697,DB00145,O75600,1
3698,DB00371,P47870,1
3699,DB06144,P35348,1
3700,DB00248,P28335,1
3701,DB04871,P08684,1
3702,DB04151,P68133,1
3703,DB01233,P15538,1
3704,DB08690,P22695,1
3705,DB00097,P23945,1
3706,DB08057,P06239,1
3707,DB01496,P14867,1
3708,DB01197,P14780,1
3709,DB00188,P10635,1
3710,DB01388,Q01668,1
3711,DB07919,P21397,1
3712,DB00809,P20309,1
3713,DB00934,P08172,1
3714,DB00851,P05177,1
3715,DB00157,P00338,1
3716,DB00980,P33261,1
3717,DB01863,Q9H4M7,1
3718,DB00289,Q13224,1
3719,DB04855,P35368,1
3720,DB01118,P08684,1
3721,DB00263,P11712,1
3722,DB00805,P10635,1
3723,DB00996,Q8TCU5,1
3724,DB01392,Q14654,1
3725,DB00543,P28223,1
3726,DB06271,P05546,1
3727,DB00121,Q9HCC0,1
3728,DB00526,P05177,1
3729,DB01248,P10636,1
3730,DB03240,P42262,1
3731,DB03243,P07477,1
3732,DB00628,O00591,1
3733,DB00590,P35348,1
3734,DB00945,P51812,1
3735,DB01601,P11712,1
3736,DB02116,Q00535,1
3737,DB03032,Q03013,1
3738,DB02652,P15085,1
3739,DB05190,P04049,1
3740,DB06603,P10635,1
3741,DB08114,P61925,1
3742,DB00493,Q4U2R8,1
3743,DB01589,A8MPY1,1
3744,DB02983,Q92731,1
3745,DB00659,Q12879,1
3746,DB07356,P27487,1
3747,DB04630,P15538,1
3748,DB00200,Q9Y4U1,1
3749,DB01186,P18089,1
3750,DB02379,P35247,1
3751,DB03697,P00918,1
3752,DB00805,P41595,1
3753,DB00869,P08684,1
3754,DB01159,Q8TCU5,1
3755,DB00876,P11712,1
3756,DB01595,O14764,1
3757,DB04695,O95749,1
3758,DB01483,Q13002,1
3759,DB05364,P10147,1
3760,DB02258,P13631,1
3761,DB01221,P41595,1
3762,DB00091,P10632,1
3763,DB00334,Q99928,1
3764,DB08233,P24941,1
3765,DB00134,Q99707,1
3766,DB02181,P15531,1
3767,DB00240,P08684,1
3768,DB08897,P20309,1
3769,DB00342,P20309,1
3770,DB08694,P24941,1
3771,DB01708,P24462,1
3772,DB06589,P05230,1
3773,DB00694,P20815,1
3774,DB01218,P08684,1
3775,DB06144,Q12809,1
3776,DB00255,P11509,1
3777,DB00070,P01137,1
3778,DB03925,P08246,1
3779,DB04622,Q16769,1
3780,DB09076,P11229,1
3781,DB00216,P33261,1
3782,DB00712,P22309,1
3783,DB06719,P30968,1
3784,DB00404,P18505,1
3785,DB04938,P08684,1
3786,DB06274,P41143,1
3787,DB08892,Q9UBS5,1
3788,DB00960,P28222,1
3789,DB06016,P35462,1
3790,DB00208,P05177,1
3791,DB01363,P54219,1
3792,DB02720,P11217,1
3793,DB04018,P29474,1
3794,DB05448,Q16881,1
3795,DB00054,P08514,1
3796,DB01142,P11712,1
3797,DB05219,Q08493,1
3798,DB00145,O60391,1
3799,DB00675,P11511,1
3800,DB07573,P56817,1
3801,DB02449,P08254,1
3802,DB08594,P43235,1
3803,DB06678,P08913,1
3804,DB01571,P35372,1
3805,DB01035,P10635,1
3806,DB01411,P12724,1
3807,DB04166,P14920,1
3808,DB00283,P10635,1
3809,DB00568,P08172,1
3810,DB03217,P12931,1
3811,DB00544,P42898,1
3812,DB07678,Q15596,1
3813,DB01023,P11712,1
3814,DB00795,O15111,1
3815,DB01169,P28482,1
3816,DB00325,P16066,1
3817,DB00074,P09871,1
3818,DB08643,P08254,1
3819,DB08309,P20248,1
3820,DB06151,O14920,1
3821,DB01559,P28472,1
3822,DB08883,P20815,1
3823,DB00402,P30536,1
3824,DB07117,P14780,1
3825,DB00056,P20138,1
3826,DB08618,P01859,1
3827,DB00189,P48169,1
3828,DB01361,P08684,1
3829,DB00848,P10696,1
3830,DB00755,P33260,1
3831,DB00626,P01023,1
3832,DB00418,P36544,1
3833,DB02483,P00338,1
3834,DB00157,Q06278,1
3835,DB00926,P28702,1
3836,DB00797,P35348,1
3837,DB03880,P39900,1
3838,DB00795,P23219,1
3839,DB02472,P00813,1
3840,DB08138,P24941,1
3841,DB04522,P29508,1
3842,DB08047,Q15596,1
3843,DB00543,P11229,1
3844,DB00408,P28566,1
3845,DB04395,P08069,1
3846,DB00688,Q9HAW7,1
3847,DB01196,P03372,1
3848,DB00130,O43548,1
3849,DB03020,P00326,1
3850,DB05122,P16144,1
3851,DB00126,P13674,1
3852,DB00967,P35367,1
3853,DB01977,P00749,1
3854,DB08231,P62942,1
3855,DB00163,P17252,1
3856,DB00607,P05177,1
3857,DB04674,P25101,1
3858,DB00257,P20813,1
3859,DB00655,Q02928,1
3860,DB00118,P05181,1
3861,DB04315,P21980,1
3862,DB00273,P08684,1
3863,DB03955,Q16706,1
3864,DB05045,P49146,1
3865,DB05241,O00329,1
3866,DB04948,P08913,1
3867,DB08804,P10275,1
3868,DB04315,P11488,1
3869,DB05268,P04049,1
3870,DB00683,P47870,1
3871,DB03147,P55789,1
3872,DB01536,P14060,1
3873,DB03796,P50897,1
3874,DB05461,P18825,1
3875,DB08217,P06730,1
3876,DB00002,P31994,1
3877,DB00099,P08246,1
3878,DB00126,Q9UHI7,1
3879,DB00188,P28074,1
3880,DB04149,Q08499,1
3881,DB00745,P11712,1
3882,DB06203,P10635,1
3883,DB08294,P01857,1
3884,DB04946,P21728,1
3885,DB07152,P36897,1
3886,DB01142,P25100,1
3887,DB00500,P23219,1
3888,DB06148,P34969,1
3889,DB00035,P30518,1
3890,DB04864,P22303,1
3891,DB00459,P19793,1
3892,DB08673,P24941,1
3893,DB04573,Q92731,1
3894,DB08300,P48736,1
3895,DB00491,P10253,1
3896,DB01179,P11388,1
3897,DB00508,P11229,1
3898,DB06176,P20815,1
3899,DB00717,P08684,1
3900,DB00143,P10620,1
3901,DB07249,P54760,1
3902,DB00477,P21918,1
3903,DB09016,P35367,1
3904,DB04953,O60656,1
3905,DB00171,P36896,1
3906,DB01267,P20815,1
3907,DB06908,Q15788,1
3908,DB02166,P22303,1
3909,DB00083,P60880,1
3910,DB00248,P28221,1
3911,DB08838,Q00975,1
3912,DB00714,P08913,1
3913,DB01176,P49888,1
3914,DB04152,P42262,1
3915,DB07996,P17612,1
3916,DB02383,O60218,1
3917,DB00368,P35348,1
3918,DB01173,P20813,1
3919,DB08437,P62829,1
3920,DB01175,Q01959,1
3921,DB00408,P14416,1
3922,DB00701,P33261,1
3923,DB00483,Q15822,1
3924,DB00391,P14416,1
3925,DB01723,P62942,1
3926,DB07459,Q16539,1
3927,DB08900,O95838,1
3928,DB01363,P08913,1
3929,DB00675,P11712,1
3930,DB07058,P49841,1
3931,DB00696,P08913,1
3932,DB05651,O15379,1
3933,DB03461,P48163,1
3934,DB00075,O75015,1
3935,DB00421,O43497,1
3936,DB08184,P07477,1
3937,DB00334,P08913,1
3938,DB08217,P06731,1
3939,DB01238,P08684,1
3940,DB01098,P08684,1
3941,DB00477,P05177,1
3942,DB00675,P41743,1
3943,DB04849,P35968,1
3944,DB00157,O14561,1
3945,DB01021,P22748,1
3946,DB05229,P43119,1
3947,DB00104,P30874,1
3948,DB01238,P35368,1
3949,DB03368,P08254,1
3950,DB00280,Q9NZV8,1
3951,DB00130,P49915,1
3952,DB04315,P84077,1
3953,DB00515,P04731,1
3954,DB00927,P33261,1
3955,DB05289,Q9Y6K9,1
3956,DB00391,P06276,1
3957,DB01093,P33261,1
3958,DB03088,Q03403,1
3959,DB00816,P07550,1
3960,DB04946,P34969,1
3961,DB00107,P30559,1
3962,DB08128,P11086,1
3963,DB08901,Q02763,1
3964,DB03067,P11217,1
3965,DB07665,P00734,1
3966,DB09280,P20813,1
3967,DB04478,Q00796,1
3968,DB00231,P20813,1
3969,DB00073,P02745,1
3970,DB00135,P07101,1
3971,DB01076,P20813,1
3972,DB08021,P53779,1
3973,DB00071,P14735,1
3974,DB05203,P00797,1
3975,DB00157,P49821,1
3976,DB01595,P35498,1
3977,DB06016,P35367,1
3978,DB06151,Q12879,1
3979,DB07658,P00734,1
3980,DB00466,P23416,1
3981,DB00568,P08912,1
3982,DB01628,P11712,1
3983,DB04395,P51570,1
3984,DB05316,P28223,1
3985,DB03147,P11310,1
3986,DB07632,P00918,1
3987,DB00056,P09871,1
3988,DB00056,P31994,1
3989,DB00343,P33261,1
3990,DB01589,O14764,1
3991,DB01023,Q13936,1
3992,DB02709,P35354,1
3993,DB08801,P35367,1
3994,DB00582,Q01740,1
3995,DB01621,P28223,1
3996,DB07393,P00390,1
3997,DB00493,Q9Y694,1
3998,DB01201,P08684,1
3999,DB01851,P01834,1
4000,DB01840,Q9NPH2,1
4001,DB08814,P35228,1
4002,DB01212,Q4U2R8,1
4003,DB00312,Q8N1C3,1
4004,DB01041,P33261,1
4005,DB00171,O95477,1
4006,DB00543,Q16445,1
4007,DB01025,Q99584,1
4008,DB04464,P00414,1
4009,DB00095,P20701,1
4010,DB03247,Q969G6,1
4011,DB01346,Q14524,1
4012,DB01010,P06276,1
4013,DB00614,P27338,1
4014,DB00368,P08913,1
4015,DB00321,P23975,1
4016,DB01234,P05181,1
4017,DB00321,Q9NZV8,1
4018,DB03120,P09668,1
4019,DB03909,P00558,1
4020,DB01209,P35372,1
4021,DB00401,P05177,1
4022,DB04585,P05089,1
4023,DB08183,P52333,1
4024,DB05271,P21728,1
4025,DB00139,P21912,1
4026,DB00157,O15239,1
4027,DB00471,P09917,1
4028,DB00786,P39900,1
4029,DB00157,O43677,1
4030,DB03144,P05089,1
4031,DB06884,P48552,1
4032,DB03435,O94766,1
4033,DB01227,P32297,1
4034,DB00185,P11229,1
4035,DB05234,P10275,1
4036,DB00528,P10635,1
4037,DB00714,P21728,1
4038,DB00158,P42898,1
4039,DB03556,P16152,1
4040,DB04315,P36405,1
4041,DB01006,P11509,1
4042,DB01353,P36544,1
4043,DB07023,P03951,1
4044,DB00159,P35354,1
4045,DB01110,Q12791,1
4046,DB00762,P06276,1
4047,DB00111,P12318,1
4048,DB04214,P24666,1
4049,DB00897,P34903,1
4050,DB01075,P20813,1
4051,DB00298,P35348,1
4052,DB00321,P08913,1
4053,DB06909,Q07343,1
4054,DB00714,P41595,1
4055,DB06148,Q01959,1
4056,DB00675,P08684,1
4057,DB00115,Q9Y4U1,1
4058,DB00246,P20815,1
4059,DB00972,P08684,1
4060,DB02845,P06276,1
4061,DB03153,P00492,1
4062,DB00897,P18507,1
4063,DB00604,P08684,1
4064,DB03115,Q02750,1
4065,DB03127,O00244,1
4066,DB00321,P25100,1
4067,DB08867,P04150,1
4068,DB00973,P15144,1
4069,DB00705,P24462,1
4070,DB01075,P33261,1
4071,DB00463,P78334,1
