#Drug	Gene
DB01766	P00734
DB01023	O95180
DB01992	Q92831
DB07780	P01116
DB02007	P15121
DB02615	P18031
DB07883	P01857
DB06880	P27487
DB00799	P10826
DB00794	Q16445
DB03461	O75874
DB00184	P36544
DB04604	P78368
DB01151	P28223
DB00082	Q02928
DB00297	P33261
DB05767	P19838
DB04835	P08684
DB03461	P0CG22
DB02685	P07858
DB07416	P01834
DB00134	Q9NZL9
DB00295	P41143
DB00540	P05177
DB00184	P10635
DB01254	P06241
DB02930	P16118
DB07022	P03951
DB00717	P06401
DB00081	P02746
DB00310	Q13621
DB01224	P35368
DB09065	P10635
DB00421	P04150
DB00051	P12314
DB00108	P12318
DB06925	P06239
DB00397	P08913
DB01589	P48169
DB00231	O00591
DB03877	P00918
DB01008	P09211
DB04566	P12268
DB00358	P11511
DB01435	P08684
DB02901	P10275
DB00223	P04150
DB04957	Q12809
DB01565	P01189
DB05854	P37231
DB00143	P28161
DB00237	P28472
DB01151	P20309
DB02784	P18031
DB00818	Q8N1C3
DB05743	P28223
DB08828	Q99835
DB02297	P24941
DB04783	P68133
DB00983	P11712
DB01028	P05177
DB00446	P20815
DB07579	P02743
DB00719	P35367
DB08932	P24530
DB00731	P11712
DB00500	P48775
DB00052	P16471
DB00761	P55011
DB00850	P62158
DB08867	P10275
DB01997	P29474
DB00755	P49788
DB00575	P18825
DB00625	P11712
DB01110	P08684
DB07133	P00734
DB00273	P31644
DB09045	P43220
DB00842	Q8N1C3
DB00824	P0DMS8
DB01064	O00459
DB01037	P21397
DB07512	P27338
DB07780	P14324
DB07882	P01834
DB00758	P23141
DB00231	P08684
DB02287	P07477
DB02379	P35557
DB04121	P84077
DB02546	O15379
DB04719	P68400
DB00997	P11388
DB00227	P10632
DB08818	P13611
DB01159	P14867
DB01176	P11712
DB00455	P35367
DB00035	P47901
DB01242	P09211
DB00342	P10632
DB02733	P28482
DB01273	P32297
DB04175	P09467
DB06738	Q8TCU5
DB00514	P43681
DB03864	P48147
DB00997	P29474
DB06148	P08908
DB04606	P08709
DB03753	P23219
DB08156	P00918
DB07821	P23141
DB08516	P27338
DB07766	Q9UQM7
DB02341	P08246
DB00389	P11511
DB04368	Q9HBH1
DB08784	Q9HBL8
DB01174	O60391
DB04933	O00206
DB00199	Q12809
DB00563	Q05932
DB00156	P26639
DB00220	P10635
DB01159	P08100
DB01267	P18089
DB02783	P00505
DB04930	P20813
DB03996	P52732
DB07754	Q04609
DB01355	P47869
DB08658	P06276
DB08811	O00408
DB00796	P23219
DB08844	P06737
DB00783	P33261
DB00909	P33261
DB05087	P31644
DB09202	P18825
DB05013	P17252
DB00054	P00736
DB00477	Q9H3N8
DB00678	P11712
DB00523	P19793
DB00772	P20813
DB07193	P27487
DB06287	P20815
DB07196	P09960
DB01235	P20711
DB00718	P54819
DB01624	P14416
DB00425	P20815
DB00122	Q9Y259
DB06710	P11511
DB11362	P10632
DB00250	P11245
DB00725	P20309
DB03311	P18031
DB00273	P33261
DB00119	P53985
DB02822	P00326
DB08838	P48048
DB06725	P35354
DB06616	P12931
DB00143	P18283
DB00373	P10635
DB00568	P21918
DB00363	P35368
DB00531	P10632
DB00183	P06276
DB01136	P08913
DB02878	P13716
DB00415	P46059
DB00162	P04798
DB06901	P08217
DB07259	P09960
DB01229	O75469
DB05147	Q9BQE3
DB01274	P11712
DB08262	P68871
DB00594	P37088
DB00313	P23219
DB01392	P08684
DB00126	O75936
DB00747	P20309
DB08241	P24941
DB07131	P07477
DB01623	P05177
DB08463	P20248
DB08772	P15121
DB05157	O15264
DB01419	P35354
DB02062	P08473
DB01065	P03372
DB01618	P14416
DB07530	P11473
DB04946	P05177
DB04050	P02144
DB00921	P10635
DB04760	P45452
DB00876	P30556
DB08690	P47985
DB00334	P47898
DB00295	P06133
DB00130	P22735
DB00738	Q02928
DB03660	P27487
DB08932	P08684
DB00171	Q13564
DB01363	P27338
DB04186	P24941
DB03046	P00749
DB00313	P51649
DB06603	Q969S8
DB01338	P20309
DB05387	P14780
DB08295	P01744
DB01409	P08172
DB08325	Q9HCP0
DB03909	O14983
DB00514	P20813
DB00515	P47989
DB00586	P11712
DB00210	P19793
DB01211	Q9NPD5
DB00541	P68366
DB04079	P08100
DB06262	P00439
DB00870	P16662
DB05223	O15379
DB08235	O15144
DB04842	P28223
DB00570	Q71U36
DB00906	P08684
DB08689	Q99643
DB00753	P28472
DB00629	P05177
DB03695	P00374
DB00072	P11511
DB03158	P32019
DB00268	P14416
DB00175	P11712
DB06772	Q9H4B7
DB00559	P24530
DB01169	P04798
DB00197	P16662
DB04660	P17900
DB04604	P27361
DB07662	P00533
DB00379	P08684
DB00703	P05181
DB00201	P10635
DB00540	P50406
DB01628	P05181
DB00564	P16662
DB00472	P11712
DB00114	Q8IYQ7
DB00321	P50406
DB01288	P07550
DB06216	P28335
DB08515	P25788
DB02482	P17612
DB00752	P11509
DB07401	Q9UDW1
DB01437	Q99928
DB01154	Q14654
DB05080	P35367
DB00864	P24462
DB00071	P29120
DB01049	P28221
DB08500	P11217
DB02395	P15559
DB01028	P14867
DB01283	O60656
DB00413	P18089
DB02429	P00918
DB07212	P03951
DB00756	P00367
DB02871	P00326
DB09078	P22455
DB00472	P10635
DB03456	P43235
DB00060	P17181
DB09028	P36544
DB07859	P17612
DB02527	P10644
DB04920	P08684
DB03096	P07339
DB02106	P10828
DB00898	Q16445
DB00898	P05177
DB04594	P35914
DB00191	P27338
DB08254	P07477
DB00002	P02746
DB03546	P22102
DB08437	P61927
DB00211	P25100
DB00337	P62942
DB00523	P10276
DB00605	P35354
DB00640	P29275
DB02028	P50607
DB06637	P16389
DB00925	P18089
DB05153	P10721
DB00203	P33261
DB07011	P35228
DB01189	Q9UN88
DB00092	O75015
DB04894	P25103
DB08439	P11712
DB02093	P06744
DB08744	P16083
DB04233	P08100
DB01045	P22309
DB00254	P08684
DB04975	P04798
DB00404	Q8N1C3
DB02526	P00749
DB00091	P49069
DB08597	P62942
DB01972	P31939
DB01268	P35968
DB09068	P31645
DB01352	P47869
DB07384	P06576
DB07692	P14618
DB00696	P28223
DB00559	P08684
DB06914	P09601
DB02613	Q02127
DB00294	P08684
DB00201	Q14432
DB01589	P47869
DB08901	P16234
DB07724	Q15788
DB00157	Q16878
DB01026	P33261
DB00914	Q15842
DB03338	Q03181
DB03702	Q9UNI1
DB00175	P08684
DB05785	P05412
DB00586	P35499
DB00674	P06276
DB00129	P54368
DB00920	Q08499
DB01708	Q12879
DB01285	Q07973
DB00248	P35348
DB04178	P17213
DB00656	P28335
DB00546	P08684
DB01068	P18507
DB01624	P08913
DB07954	Q13370
DB01752	P11086
DB06706	P35348
DB01234	P11511
DB07297	P06239
DB08546	P00734
DB08868	Q9NYA1
DB00127	P52788
DB00526	P09488
DB00604	Q13639
DB08885	P49765
DB08271	P09238
DB00794	P08684
DB01229	P10632
DB00908	P04798
DB00974	P05177
DB05492	P41146
DB04163	Q86XF0
DB05651	Q13547
DB04924	P14416
DB00501	P33261
DB00725	P11229
DB01303	P27815
DB08688	Q9NPJ3
DB01244	P10635
DB07791	P24941
DB01008	P08684
DB08437	Q9UHA3
DB02266	P10275
DB03064	Q9UJM8
DB07837	O00141
DB01365	P08913
DB00321	Q99720
DB00907	P08684
DB00758	P11712
DB08890	P25092
DB01594	P18505
DB06712	P05177
DB00370	P35462
DB00290	Q13867
DB00842	P78334
DB00734	P18089
DB05266	Q07343
DB01281	P42081
DB01352	P36544
DB00285	P20813
DB04077	O43252
DB00721	Q92952
DB00656	P35367
DB03847	P02818
DB00615	P08684
DB01215	P28472
DB02692	P29475
DB00284	O43451
DB04444	O14983
DB03273	P23526
DB04197	P05089
DB00786	Q99542
DB00020	P32927
DB08827	P08684
DB04861	P07550
DB09033	P13612
DB03354	P11217
DB07258	P09960
DB07401	P08574
DB04109	P35030
DB08521	Q16539
DB03092	P04746
DB03650	P11309
DB00257	P05108
DB09049	P10635
DB01175	P10635
DB00184	P33261
DB01009	P25024
DB09031	Q13393
DB00166	Q9Y289
DB00381	P08684
DB07740	Q01581
DB00143	Q7RTV2
DB00495	P08684
DB02942	Q15075
DB08895	P33261
DB07380	P17538
DB00396	P24462
DB05087	P34903
DB01274	P33261
DB00716	Q9NS75
DB01028	P18507
DB00514	Q15080
DB06148	P50406
DB00457	P04798
DB00418	Q8TCU5
DB02506	P63151
DB08198	P52732
DB00379	P35869
DB00588	P47712
DB00777	P14416
DB00082	P15104
DB07401	P14927
DB08499	P42574
DB01558	P47869
DB06273	P08887
DB01439	P41143
DB06959	P61925
DB04256	Q13255
DB03866	P35354
DB00945	Q9UGI9
DB00127	P21673
DB00095	P02746
DB01463	Q01959
DB05492	P28223
DB06698	Q9Y5N1
DB00243	P10635
DB00277	P00813
DB04868	P20813
DB00397	P35348
DB00358	P29274
DB08651	Q02880
DB00624	P11511
DB00128	Q6PI48
DB07879	P56524
DB07558	O14818
DB00128	P27708
DB00425	P33261
DB05035	P10828
DB04395	P11309
DB00572	P08912
DB00956	P10635
DB01351	P14867
DB08489	P09237
DB04840	P23975
DB04889	P10635
DB07032	Q92731
DB01174	P05177
DB02709	P23219
DB05675	P02671
DB01056	Q14524
DB00157	P30838
DB01594	Q8N1C3
DB01179	P08684
DB09068	P11509
DB00526	P15559
DB04509	P23141
DB00392	Q8TCU5
DB03494	P07477
DB01435	P35354
DB00114	P00505
DB07250	P54760
DB07853	Q9P289
DB00450	P35348
DB00248	P14416
DB08875	P11712
DB08756	P17612
DB06267	P20815
DB00166	P16435
DB00228	Q09470
DB00699	P10635
DB06911	P00734
DB00227	P20701
DB04552	P23219
DB05003	P23921
DB01087	P04798
DB00549	P11712
DB00328	P11712
DB04899	P20594
DB03088	P04745
DB07807	P11217
DB08818	O14594
DB01041	P05181
DB03879	P11226
DB02341	Q9UNI1
DB04855	O00305
DB00308	Q13936
DB05708	P05177
DB00129	P00480
DB00334	P08172
DB01028	P48169
DB08183	P23458
DB00480	P35354
DB05087	P47869
DB04632	Q16539
DB00131	Q9NUB1
DB01239	P11229
DB07221	O95749
DB01049	P30939
DB00690	P31644
DB01236	P11509
DB06983	P24941
DB00818	P22309
DB00935	P25100
DB04682	P02585
DB01049	P21728
DB00306	P42262
DB02057	P42262
DB00399	O95749
DB02726	P13929
DB08133	P24941
DB00171	Q07912
DB06637	Q92953
DB00248	P34969
DB00371	O14764
DB08707	P11309
DB00630	P38606
DB00217	P08588
DB00600	P14679
DB00412	O60488
DB04203	P00918
DB00280	Q14524
DB01725	P07477
DB01159	O14649
DB00246	P28566
DB01151	P11509
DB00986	P11229
DB09052	P15391
DB00312	Q13002
DB01023	P54289
DB01050	P11712
DB02116	P06493
DB00311	P43166
DB00546	A8MPY1
DB02226	P22303
DB03010	P68366
DB08799	P35367
DB00246	P28335
DB05066	P01584
DB07190	P00734
DB05147	Q9BVA1
DB06711	P08913
DB01049	P18089
DB00761	Q9UP95
DB01154	P11712
DB01612	P16066
DB01181	P08684
DB01790	P10644
DB00701	P10632
DB02744	P07477
DB02482	O14965
DB01280	P27707
DB01184	P10632
DB07690	Q7Z2Z2
DB08418	P00918
DB03814	Q8IWL2
DB00036	P08709
DB00622	P33261
DB00477	P35367
DB01128	P10275
DB01224	P14416
DB07574	Q71U36
DB04644	P11217
DB09068	P34969
DB07130	P18031
DB00246	P46098
DB00328	P37231
DB07180	P51955
DB08782	P00918
DB04027	P06732
DB00604	P10635
DB01126	P20815
DB01549	P14416
DB04743	P02788
DB00197	P05121
DB07186	O14965
DB00835	P10632
DB00640	P29274
DB04350	Q13231
DB01261	P10632
DB01622	P14416
DB06779	P15692
DB07922	P39900
DB00197	O60488
DB00317	P00533
DB00674	P07510
DB02482	P50613
DB00041	P31785
DB07835	Q16539
DB00418	P11712
DB00850	P10635
DB00909	O95180
DB00246	P08684
DB00514	P14598
DB01144	P22748
DB00898	P23415
DB01623	P28223
DB01419	P23219
DB03444	P49841
DB03147	Q9UKU7
DB06727	P10635
DB01149	P35368
DB03845	P23919
DB00468	P11712
DB02726	P09104
DB08398	Q15596
DB07217	P53779
DB01171	P21397
DB03297	P04179
DB01520	O60391
DB03461	Q08257
DB07198	Q92731
DB07903	P53582
DB06643	O14788
DB01028	O14764
DB08896	P29317
DB06900	Q16651
DB00116	P42898
DB00661	P24462
DB01065	P04798
DB02486	P08263
DB07696	P42574
DB00287	P43088
DB00543	P08908
DB01567	P47870
DB01087	P16083
DB00744	P05177
DB00477	P19652
DB05383	P15121
DB00661	Q9P0X4
DB07346	P56817
DB05216	P16234
DB00861	P35354
DB00768	P35367
DB02016	P48449
DB01351	P36544
DB01053	Q8TCC7
DB01185	P04150
DB02824	P11926
DB05472	P48551
DB00333	P10632
DB01353	Q16445
DB01365	P08588
DB01558	P05181
DB02659	P14854
DB04716	O43293
DB00119	P30613
DB00818	P11509
DB00829	P10632
DB00661	O43497
DB00201	Q13315
DB00115	P22033
DB00642	Q99808
DB00150	Q9UGM6
DB00151	P32929
DB00172	Q53H96
DB01262	P26358
DB01594	Q99928
DB07724	Q07869
DB00622	P08684
DB03841	P47989
DB03247	O75676
DB08349	Q16539
DB01761	Q16539
DB01141	P21964
DB08806	P25021
DB00231	P18505
DB00170	P47989
DB00421	P18405
DB01097	P11712
DB00909	P21397
DB02035	P50897
DB03918	P29474
DB00696	P08684
DB00657	Q15822
DB01754	P11309
DB05066	P39905
DB00747	P08173
DB00713	P46059
DB01452	P41143
DB01628	P10635
DB00640	P30542
DB04799	O14957
DB08301	P00918
DB00087	P12314
DB00306	O14764
DB07956	Q9UNI1
DB03401	Q99418
DB04355	P46976
DB00055	Q9UNN8
DB00231	O14764
DB00734	P08908
DB07252	P54760
DB00517	P08172
DB00370	P08913
DB00306	P34903
DB04077	Q9NPH2
DB00543	Q01959
DB08617	P54577
DB00189	P34903
DB00608	P08684
DB01114	P24462
DB00145	Q6IB77
DB07376	P00734
DB00402	P78334
DB00571	P04798
DB00627	P40261
DB00292	P31644
DB00628	Q99928
DB04894	P30874
DB07514	P35968
DB08409	P01857
DB00140	P21397
DB01231	P08172
DB00285	P08684
DB02471	P11217
DB00360	P00439
DB07458	P17612
DB05253	P06401
DB06366	P04626
DB08183	P29597
DB00422	Q01959
DB00145	P34897
DB04055	P11217
DB00586	P16662
DB01232	P24462
DB00092	P12318
DB08816	P08684
DB00940	P25021
DB00946	P08684
DB02110	P99999
DB03501	P16442
DB06204	P31645
DB06853	P07477
DB02977	P18031
DB01136	P10635
DB00193	P31645
DB06697	P08684
DB00273	Q8N1C3
DB00139	Q9BZW2
DB06228	P20815
DB07340	Q96GD4
DB00328	Q04760
DB00625	P08684
DB01062	P08172
DB00635	P08684
DB00440	P08684
DB00976	P08684
DB01069	P08912
DB01424	P33261
DB01159	P28472
DB01224	P18089
DB02068	P13716
DB02935	P14625
DB00545	P22303
DB00047	P05177
DB00537	P05177
DB00136	Q07973
DB07909	P01857
DB08820	P13569
DB00252	P10632
DB00757	P46098
DB02098	P12724
DB04137	P10114
DB01189	P78334
DB00869	P00915
DB01844	P00797
DB01136	Q12809
DB00123	P52569
DB01403	P28335
DB04795	P31040
DB00145	Q969I3
DB00918	P08684
DB01023	Q01064
DB00054	P31995
DB04953	P22310
DB08004	Q8TF76
DB01240	Q9H244
DB03828	P12931
DB07357	P16442
DB01972	Q16774
DB06204	P11712
DB00459	P13631
DB00748	P20813
DB00208	P04798
DB01966	P07602
DB07320	O14757
DB00138	Q07837
DB00842	P47870
DB09078	P22607
DB08896	P21802
DB01558	P48169
DB04326	P05062
DB00056	P08637
DB00916	P10632
DB00436	P55017
DB00157	P29803
DB05913	P10721
DB00968	P08913
DB00513	P00750
DB00157	O95139
DB00184	Q05901
DB01363	Q05940
DB00145	Q9Y345
DB08655	Q92793
DB00370	P10632
DB07716	P01834
DB02306	Q9UKL6
DB00201	Q01064
DB00257	P05177
DB07113	P00797
DB01296	P14780
DB00583	P05164
DB04272	P15086
DB04920	P11712
DB00546	P47869
DB01049	P35368
DB07375	P01857
DB00379	P05181
DB03737	P24941
DB00128	Q9UJS0
DB00431	P48167
DB00594	P51170
DB08214	P35228
DB00157	P28845
DB00690	Q99928
DB00030	Q96C24
DB00818	P28472
DB01364	P23975
DB00371	Q16445
DB01392	P28222
DB05168	P41439
DB02153	P32119
DB06103	P12268
DB00404	O14764
DB00824	P27815
DB07757	Q92731
DB00420	P11712
DB04009	P00167
DB00342	P08684
DB00921	P20815
DB05883	P01270
DB02152	P08581
DB03451	P11473
DB00277	P04798
DB02377	P30793
DB01254	Q16678
DB01067	P11712
DB01198	P30536
DB02499	P05089
DB06070	P08238
DB06779	Q9Y251
DB02379	Q6UWM7
DB02750	Q7Z2Z2
DB00721	P06276
DB00734	P35368
DB01068	P31644
DB02546	Q9BY41
DB04639	P01857
DB08043	P00519
DB07857	P61925
DB07374	P62750
DB04930	P35498
DB01236	Q9UN88
DB01587	P78334
DB04077	P00325
DB04327	Q9UNN8
DB00726	P10635
DB01107	P18507
DB00157	P14060
DB00537	P11388
DB05260	P21281
DB00580	O60656
DB00343	P10632
DB00398	P17948
DB00401	P54289
DB01273	P43681
DB00401	Q13698
DB00589	P18825
DB01041	P19652
DB07845	P45983
DB08896	P35916
DB04315	P63000
DB00462	P20309
DB00505	P08172
DB00712	P23219
DB01079	P10635
DB00241	O00591
DB02740	P61769
DB01244	O00555
DB03633	P04054
DB00338	P04798
DB04877	P08183
DB05492	P08913
DB05155	P41145
DB01393	Q03181
DB00454	P20309
DB01189	Q16445
DB08901	P10632
DB00117	P19113
DB09079	P12931
DB00401	Q13936
DB04381	P05091
DB00171	P25098
DB07994	P56817
DB05111	P01579
DB00141	P54802
DB08507	P08254
DB08400	O00519
DB04338	Q16539
DB00200	P20061
DB08929	P56817
DB00590	P33261
DB00338	P05108
DB00122	P49585
DB01237	P35367
DB00882	P05108
DB04465	Q7Z4J2
DB00071	P01920
DB00835	P11712
DB03519	P00480
DB07401	P31930
DB00404	Q9UN88
DB00795	O14920
DB00675	P24462
DB01361	P10632
DB01028	P05181
DB02101	P15121
DB07264	P28482
DB00338	P20648
DB00204	Q12809
DB00402	P14867
DB08870	P28908
DB00898	Q9Y698
DB00613	P50135
DB01764	P08684
DB00656	P10635
DB04491	P00751
DB00578	P47712
DB00458	P11229
DB00612	P10635
DB06701	Q01959
DB08399	P06576
DB08139	P24941
DB00602	P08684
DB04463	P16152
DB00128	P00966
DB00321	P35372
DB01762	P16930
DB06944	P20248
DB00145	Q14957
DB00171	P08183
DB00818	O60656
DB01583	P10827
DB01576	P23975
DB03636	P22894
DB08896	P10721
DB00031	P05452
DB08897	P11229
DB00397	P21397
DB01119	Q12791
DB01118	P08588
DB07908	P07737
DB00850	P20813
DB01159	Q99928
DB00606	P00915
DB03227	Q96T66
DB00160	P43007
DB00401	P24462
DB03223	P13639
DB00257	P11712
DB00228	P47870
DB00974	Q15166
DB00025	P04070
DB07830	P27487
DB06077	P28223
DB02261	P17900
DB02647	P24941
DB01559	P18507
DB00898	P42261
DB04318	P24347
DB05044	P06737
DB00899	P35372
DB00741	P19099
DB02772	Q9Y3I0
DB00289	Q05586
DB04003	P06239
DB00814	P52209
DB02894	P00918
DB00195	P10635
DB00726	P08172
DB05464	P19838
DB09202	P18089
DB01988	Q16539
DB04797	Q16539
DB01812	P10153
DB01170	P23975
DB01142	P28223
DB00313	Q99250
DB01127	P08684
DB04953	P56696
DB00312	Q99928
DB00720	P35354
DB00897	P14867
DB00672	P11712
DB00659	P28472
DB04724	P20701
DB06943	P78536
DB06262	P20711
DB01436	O15528
DB00246	P05177
DB01989	Q9Y6L7
DB03796	O43617
DB00238	P05177
DB00540	P35348
DB02558	P08473
DB01072	P08684
DB04716	O60674
DB05050	P41143
DB00673	P33261
DB04395	Q02880
DB00321	P33261
DB00570	Q9UJT0
DB00091	P20815
DB00650	P04818
DB07476	P00918
DB03921	P36897
DB09036	P05231
DB01039	O43923
DB00907	P24462
DB01142	P23975
DB00241	Q8N1C3
DB00943	P24462
DB01186	P21917
DB06779	P01008
DB03127	Q9Y5Y6
DB00446	P10632
DB00914	Q13131
DB08330	O14949
DB00899	P41143
DB00604	P11712
DB00714	P08908
DB00673	P11712
DB01520	Q14957
DB03186	P07998
DB02407	P20248
DB04851	Q9UNQ0
DB04946	P35367
DB00282	P14324
DB04150	P19021
DB05003	P31350
DB05412	Q16539
DB00067	P47901
DB00318	P20815
DB00412	P10635
DB00813	P08684
DB08810	Q13639
DB08231	P41235
DB00126	Q32P28
DB04805	P61927
DB00313	P33261
DB00481	P03372
DB00703	P08684
DB00778	P08684
DB00863	P25021
DB03379	P60174
DB04395	P23677
DB00704	P41145
DB04281	Q02127
DB00203	P11712
DB00122	Q9Y5K3
DB08049	P21964
DB00241	P28472
DB00321	P10632
DB07086	P03372
DB01282	P30559
DB00334	P14416
DB07866	P28845
DB00458	P25100
DB02325	Q13231
DB00321	P25021
DB01236	P28472
DB00112	P00736
DB07083	P00734
DB01028	P08684
DB04889	P14416
DB01693	P12268
DB01224	P18825
DB00468	P14770
DB00685	P11388
DB01864	P62330
DB04657	P31040
DB00543	P18507
DB04888	P14416
DB05475	Q9NYK1
DB01558	P78334
DB03784	P14555
DB01239	P28223
DB08015	P53779
DB00327	P11712
DB00436	P00915
DB00661	P54284
DB00381	Q13936
DB01472	P08913
DB04871	P10635
DB00100	P00742
DB01110	P29474
DB00160	Q16719
DB01087	P10635
DB00669	P30939
DB01576	P35348
DB00323	P21964
DB00641	P20813
DB02931	Q16613
DB00892	Q9Y5Y9
DB01577	Q01959
DB07563	P43235
DB00197	P11511
DB00696	P08908
DB02329	P28845
DB08602	Q13946
DB05814	P62942
DB06738	Q14957
DB00342	P11229
DB00482	P10635
DB01244	O95180
DB00015	P00747
DB00613	P04798
DB02681	P61024
DB08361	P43405
DB08813	P01106
DB00477	P08684
DB00731	O60656
DB00656	P35348
DB00197	P33261
DB00949	Q8TCU5
DB03740	P01857
DB04866	P08253
DB09014	P28335
DB00622	P25100
DB07024	P24941
DB02869	P43235
DB08412	P01857
DB00636	Q07869
DB01601	P33261
DB00268	P08908
DB00054	O75015
DB01041	P19838
DB01046	P51788
DB08093	Q16539
DB08912	Q8NG66
DB01049	P28223
DB01115	P05181
DB07897	P00734
DB01108	P26439
DB00819	P22748
DB01007	P05177
DB02727	P29475
DB00160	P24298
DB07266	O14965
DB00201	Q13370
DB00801	Q99928
DB03176	P10827
DB00131	P16220
DB00216	P08908
DB00723	P35368
DB07855	P17612
DB01270	P15692
DB00339	P47989
DB00864	P20815
DB00723	P25100
DB01567	Q99928
DB04905	P08684
DB03461	Q13423
DB08450	P36897
DB04464	P00403
DB00572	P20309
DB00213	P20648
DB00463	P48169
DB00548	P51857
DB00909	P07451
DB00783	P08684
DB02740	P01892
DB04142	P18031
DB04828	P08684
DB00069	P48551
DB00112	P02747
DB01076	P20815
DB03754	P17707
DB05421	P25103
DB06268	P11712
DB00468	P24462
DB00157	O43175
DB00409	P28223
DB00321	P10635
DB00268	P08913
DB03443	P07477
DB01378	P05023
DB07323	P50579
DB00799	P13631
DB00142	P49915
DB01224	P08684
DB00142	Q8N159
DB01559	Q99928
DB00428	P05181
DB01349	P50052
DB03496	P50613
DB01392	P28221
DB04754	P00491
DB03783	P04798
DB04855	P08588
DB01088	P43119
DB08435	P37231
DB04530	P05089
DB04926	Q8TCU5
DB05241	P48736
DB08804	P27338
DB00972	P05177
DB00139	O15460
DB07821	Q13093
DB02091	P24941
DB00408	P35368
DB07369	P08581
DB07942	Q16539
DB00087	O75015
DB01205	P47870
DB07639	P00734
DB08468	P68400
DB03880	P22894
DB01640	Q13370
DB00013	Q9Y5Y6
DB05066	P22301
DB01333	P08684
DB00998	P28221
DB04404	Q13231
DB01184	P35462
DB00313	Q07699
DB00266	P15559
DB00157	O00483
DB00381	P20815
DB00184	Q15825
DB00273	P47869
DB05492	P41595
DB01198	P23219
DB08040	P09960
DB02548	P06744
DB09079	P11362
DB01472	P27338
DB01107	Q16445
DB06589	P17948
DB00342	P35367
DB01207	P24557
DB08035	P10275
DB00475	P78334
DB00376	P08173
DB01105	P08684
DB07930	Q15067
DB05407	P05305
DB01023	P08235
DB03507	P19438
DB00526	Q16678
DB04638	O14983
DB08273	P04211
DB00526	P04798
DB00363	P08913
DB01224	P35348
DB00615	P05177
DB01268	P16234
DB00882	P11509
DB00089	Q04609
DB04977	P05181
DB07574	Q9BQE3
DB06209	P08684
DB00502	P24462
DB00139	Q32P28
DB01618	P11229
DB05036	O14746
DB09076	P08912
DB00421	P04278
DB08864	P08684
DB00580	P33261
DB00497	P20815
DB00731	P20815
DB03087	Q8WX39
DB04903	P47869
DB08283	P04062
DB02366	P07477
DB00897	P11712
DB04395	Q96QT4
DB01016	O95477
DB04574	P03372
DB04522	P05451
DB00477	P34969
DB00622	Q01668
DB00162	Q92781
DB08533	P24941
DB00257	P11511
DB08326	Q96GR2
DB00142	O94925
DB00758	P20813
DB00786	P14780
DB01244	P63316
DB01058	Q9HB55
DB01958	Q86XF0
DB04912	P30519
DB08228	P16083
DB01277	P06213
DB00214	P23219
DB08738	P48147
DB01001	P08588
DB00395	P33261
DB01136	P16581
DB06637	Q96PR1
DB01367	P05177
DB00046	P05177
DB00675	P11509
DB00788	P11712
DB01060	P33261
DB01438	P35498
DB08051	P27487
DB01007	P05181
DB00006	P05164
DB00215	P35348
DB04857	P14416
DB06945	Q9UNA0
DB01548	P41145
DB01074	P20813
DB00220	P20813
DB00794	P43681
DB00489	Q12809
DB07053	P37231
DB03639	P49366
DB00652	P35372
DB07218	Q9UQF2
DB07421	P10275
DB01252	P16662
DB00619	P16234
DB00852	P23975
DB01041	P01375
DB07664	Q16566
DB00997	P47989
DB06216	P28223
DB00264	P07550
DB00996	P30542
DB00017	P30988
DB05786	Q96AE4
DB01169	P27361
DB06080	P35968
DB00458	P08173
DB03251	P07477
DB00958	P09488
DB08413	P05187
DB03225	P14920
DB02264	P14210
DB00066	P23945
DB00182	P25100
DB00463	Q9UN88
DB08690	P00156
DB06725	P11712
DB00753	P05181
DB00370	P18825
DB00114	P11216
DB00110	P08637
DB00110	P02746
DB06711	P35348
DB06702	P08684
DB01544	P11509
DB05073	Q96EB6
DB07895	P49356
DB01224	P34969
DB00184	P08684
DB00074	P12314
DB08848	P30531
DB05382	P03915
DB00028	P0C0L5
DB08353	P68400
DB00151	Q9Y697
DB02994	P29474
DB04917	Q13639
DB06956	P07900
DB05109	P10635
DB00768	P29034
DB03010	P07437
DB01142	P25021
DB00224	P08684
DB00795	P24752
DB08200	P06276
DB00141	O60512
DB08357	P22303
DB01065	P49286
DB06846	P04035
DB07873	O95749
DB00334	P41595
DB08620	Q494W8
DB00261	P05177
DB00092	P02747
DB01224	P21728
DB03401	Q14643
DB02162	P49773
DB00246	P08172
DB00216	P34969
DB01181	P11712
DB05080	Q9Y5N1
DB06841	P00734
DB00844	P35372
DB07027	P00734
DB07778	Q9UDW1
DB07659	P00734
DB05161	P08246
DB08167	P22303
DB00887	P55011
DB05829	P49190
DB01623	P14416
DB00744	O60656
DB00298	P25100
DB07778	P08574
DB03385	P00918
DB04920	Q13936
DB00393	Q13936
DB00231	P30536
DB00976	P10635
DB05759	P08069
DB00161	P54687
DB00897	P30536
DB01355	P33261
DB07389	P35228
DB00477	P62158
DB00774	P05023
DB01037	P20813
DB00922	Q14654
DB06741	P35503
DB00801	P31644
DB02556	P06850
DB00146	O15528
DB00144	Q16760
DB00321	P08684
DB00753	O14764
DB00818	P18507
DB00431	P18505
DB00025	P00734
DB02597	P08473
DB01193	P07550
DB03203	P15151
DB05492	P35348
DB01079	Q13639
DB00285	P10635
DB01115	Q09470
DB01364	P22303
DB01244	P62158
DB02759	P61626
DB04105	P00325
